Variable,Valor Original,Valor Codificado,
Ojos,pequeños,2,
Ojos,medianos,3,
Ojos,grandes,4,
altura,baja,2,
altura,media baja,3,
altura,media alta,4,
altura,alta,5,
contextura corporal,ectomorfo,2,
contextura corporal,mesomorfo,3,
contextura corporal,endomorfo,4,
contextura corporal,mesomorfo-ectomorfo,2,(ajustamos a más ligero)
contextura corporal,endomorfo-mesomorfo,3,(ajustamos a más medio)
simetría facial,no,0,
simetría facial,parcial,0,Ajustamos a no
simetría facial,si,1,
labios,delgados,2,
labios,medios,3,
labios,prominentes,4,
perfil facial,no marcado,0,
perfil facial,marcado,1,
cabello,corto,2,
cabello,medio,3,
cabello,largo,4,
color de piel,oscuro,2,
color de piel,medio,3,
color de piel,claro,4,
estética musical dinámica/marcada,dinamica,2,
estética musical dinámica/marcada,marcada,3,
edad de peak en éxito,<21,0,
edad de peak en éxito,>21,1,
cantidad de Interacción con el público,baja,2,
cantidad de Interacción con el público,media,3,
cantidad de Interacción con el público,alta,4,
"presencia escénica (shows con narrativa, baile, etc.)",si,0,
tipo de interacción con el público,Energética y performativa,1,
tipo de interacción con el público,íntima y personalizada,2,
tipo de interacción con el público,provocadora y confrontacional,3,
Vestuario apariciones públicas,temáticos/por era musical,1,
Vestuario apariciones públicas,Vanguardistas,2,
Vestuario apariciones públicas,temáticos/por era musical y vanguardistas,3,
Vestuario apariciones públicas,Básicos y consistentes,4,
Estilo interpretativo,energética,1,
Estilo interpretativo,emocional/intima,2,
Estilo interpretativo,teatral/performática,3,
Estilo interpretativo,teatral/performática y energética,4,
Narrativa personal,Imperio Propio,1,
Narrativa personal,Resiliente Ícono de Superación Pública,2,
Narrativa personal,Estrella Bajo el Foco Mediático,3,
Narrativa personal,Camaleónica del Pop,4,
impacto cultural,Voces significativas,0,
impacto cultural,Defensoras activas de causas sociales,1,
impacto cultural,participación menos visible,2,
presencia digital y multiplataforma,Altamente activas y estratégicas,0,
presencia digital y multiplataforma,Presencia reducida,1,
presencia digital y multiplataforma,Presencia selectiva,2,
presencia digital y multiplataforma,Moderadamente activas,3,
